Loading xml library ...
create target library elements ...
copying all feature values for target library elements ...
 === processing element MethodLibrary: btm_bok_method_library
 === processing element MethodPlugin: open_pm2_plugin
 === processing element ContentCategoryPackage: ContentCategories
 === processing element CustomCategory: opm2_tree_browser
 === processing element CustomCategory: open_pm2_guide
 === processing element ContentDescription: new_custom_category,_V5hNAPNrEemO38O67PlJcw
 === processing element CustomCategory: getting_started_with_pm2
 === processing element ContentDescription: getting_started_with_pm2,_YPGu4PNsEemO38O67PlJcw
 === processing element CustomCategory: about_project_management
 === processing element ContentDescription: about_project_management,_3cGQ4PThEem0hvZFEwwVsg
 === processing element CustomCategory: extensions
 === processing element ContentDescription: extensions,_2nvbkOr4EemY--CKQaYIJA
 === processing element CustomCategory: project_organisation_and_roles
 === processing element ContentDescription: project_organisation_and_roles,_77mh4Or4EemY--CKQaYIJA
 === processing element CustomCategory: project_lifecycle_3
 === processing element ContentDescription: project_lifecycle,_AHDOoOr5EemY--CKQaYIJA
 === processing element CustomCategory: pm2_mindsets
 === processing element ContentDescription: pm2_mindsets,_vadOIOr7EemY--CKQaYIJA
 === processing element CustomCategory: supporting_materials
 === processing element ContentDescription: supporting_materials,_zmXN4Or7EemY--CKQaYIJA
 === processing element CustomCategory: release_information
 === processing element ContentDescription: release_information,_aL7f8OxxEemPtZ5AiUOtSg
 === processing element CustomCategory: pm2_overview
 === processing element ContentDescription: pm2_overview,_Be0qIOsKEemY--CKQaYIJA
 === processing element CustomCategory: pm2_artefacts
 === processing element CustomCategory: initiating_phase_artefacts
 === processing element ContentDescription: initiating_phase_artefacts,_QnLDsAtTEeq8puqX6Knz1Q
 === processing element CustomCategory: planning_phase_artefacts
 === processing element ContentDescription: planning_phase_artefacts,_WbH_UAtTEeq8puqX6Knz1Q
 === processing element CustomCategory: executing_phase_artefacts
 === processing element ContentDescription: executing_phase_artefacts,_dEuwkAtTEeq8puqX6Knz1Q
 === processing element CustomCategory: closing_phase_artefacts
 === processing element ContentDescription: closing_phase_artefacts,_hTvHoAtTEeq8puqX6Knz1Q
 === processing element CustomCategory: monitor_and_control_artefacts
 === processing element ContentDescription: monitor_and_control_artefacts,_d9cr0AtUEeq8puqX6Knz1Q
 === processing element CustomCategory: project_artefacts
 === processing element ContentDescription: project_artefacts,_6Gef8A2tEeqCW8ApWia4qg
 === processing element CustomCategory: project_lifecycle
 === processing element CustomCategory: ethics_conduct
 === processing element ContentPackage: opm2_content
 === processing element ContentPackage: extensions
 === processing element Concept: pm2_and_agile_management
 === processing element ContentDescription: new_concept,_qeigwOuKEemEHK-rYivsHg
 === processing element Concept: pm2_portfolio_management_pm2_pfm
 === processing element ContentDescription: pm2_project_portfolio_management_pm2_pfm,_68aL8OuLEemEHK-rYivsHg
 === processing element Concept: pm2_programme_management_pm2_pgm
 === processing element ContentDescription: pm2_programme_management_pm2_pgm,_UhYQcOuLEemEHK-rYivsHg
 === processing element ContentPackage: pm2_overview
 === processing element Concept: the_house_of_pm2
 === processing element ContentDescription: new_concept,_X3_QEOsAEemY--CKQaYIJA
 === processing element Concept: pm2_activities_and_artefacts
 === processing element ContentDescription: new_concept,_t6ycEOsEEemY--CKQaYIJA
 === processing element Concept: pm2_swimlane_and_rasci_matrix
 === processing element ContentDescription: new_concept,_kP0S8OsBEemY--CKQaYIJA
 === processing element Concept: pm2_quick_start_tips
 === processing element ContentDescription: new_concept,_Jc-ikOsBEemY--CKQaYIJA
 === processing element Concept: pm2_artefacts_landscape
 === processing element ContentDescription: pm2_artefacts_landscape,_ItVcEOsGEemY--CKQaYIJA
 === processing element ContentPackage: pm2_mindsets
 === processing element Concept: pm2_mindsets_and_practitioner_reflectivity
 === processing element ContentDescription: new_concept,_qaEFQOveEemsOYBuiM_KCA
 === processing element Concept: pm2_mindset_induced_behaviour
 === processing element ContentDescription: pm2_mindsets_as_a_key_driver_of_peoples_behaviour,_JBm6gOvYEemsOYBuiM_KCA
 === processing element ContentPackage: getting_started_with_pm2_new
 === processing element Concept: pm2_tailoring_and_customisation
 === processing element ContentDescription: new_concept,_i0GLwOsVEemY--CKQaYIJA
 === processing element Concept: the_centre_of_excellence_in_pm2
 === processing element ContentDescription: new_concept,_oPI08OsREemY--CKQaYIJA
 === processing element Concept: the_open_pm2_initiative_and_project_support_network
 === processing element ContentDescription: new_concept,_uOv1sOsLEemY--CKQaYIJA
 === processing element Concept: pm2_intended_audience_and_objectives
 === processing element ContentDescription: new_concept,_Vml6kOsTEemY--CKQaYIJA
 === processing element Concept: about_the_pm2_methodology
